,ASPHALT,FLOORING,ICE,SANDY_LOAM,SNOW
ASPHALT,0.42857142857142855,0.42857142857142855,0.0,0.14285714285714285,0.0
FLOORING,0.0,0.9,0.1,0.0,0.0
ICE,0.0,0.0,1.0,0.0,0.0
SANDY_LOAM,0.14285714285714285,0.2857142857142857,0.5,0.07142857142857142,0.0
SNOW,0.1111111111111111,0.37037037037037035,0.4074074074074074,0.037037037037037035,0.07407407407407407
