,precision,recall,f1-score,support
ASPHALT,0.375,0.42857142857142855,0.4,7.0
FLOORING,0.34615384615384615,0.9,0.5,10.0
ICE,0.40625,1.0,0.5777777777777777,13.0
SANDY_LOAM,0.3333333333333333,0.07142857142857142,0.11764705882352941,14.0
SNOW,1.0,0.07407407407407407,0.13793103448275862,27.0
accuracy,0.39436619718309857,0.39436619718309857,0.39436619718309857,0.39436619718309857
macro avg,0.4921474358974359,0.49481481481481476,0.3466711742168132,71.0
weighted avg,0.6061190863127482,0.39436619718309857,0.291300110784155,71.0
